Type,Category,Title,Author,URL,Description,Topic ID,Rating Avg,Rating Value
Tips,APDL CSITOTW,Building Parametric Models [PDF],David Haberman (CSI),http://ansys.net/tips/Week_22_totw-parametric-model.pdf,"This memo provides an overview of APDL, defining parameters, and creating parametric models.",11,10,8
Tips,APDL CSITOTW,Parametric Studies in ANSYS [PDF],Sean Harvey (CSI),http://ansys.net/tips/week26-parametric_studies.pdf,"Automated parametric studies in ANSYS (generating and using parametric input files).<br><a href=""tips/week26-apdl_demo.inp"">Example input file</a>.",12,10,7
Tips,APDL CSITOTW,Basics of ANSYS Macros [PDF],David Haberman (CSI),http://ansys.net/tips/week_28_totw-macros.pdf,Basics of creating and using macros (APDL) in ANSYS.,13,8,20
Tips,APDL,*VWRITE options/formats,(Various sources),http://ansys.net/?mycat=tnt_vwrite1,Tips on *VWRITE formats (Fortran style).,14,9.102564103,39
Tips,StructuralGeneral HeatXfer CSITOTW,Calculating effective Coefficient of Thermal Expansion [PDF],Bill Bulat (CSI),http://ansys.net/tips/week4-effective_cte.pdf,Tips on how to define coefficient of thermal expansion and converting that material data to format that ANSYS can use.,15,9.772727273,44
Tips,StructuralGeneral CSITOTW,Structural Surface Effect Elements Intro [PDF],Sheldon Imaoka (CSI),http://ansys.net/tips/week5_Surface_Effect_Elements.pdf,"Introduction to structural surface effect elements (SURF153/154).<br><a href=""tips/boltload.inp"">BOLTLOAD input file</a>",16,8.571428571,7
Tips,StructuralGeneral CSITOTW,Structural Shell Elements Overview [PDF],Sheldon Imaoka (CSI),http://ansys.net/tips/Week_8_Structural_Shell_Elements.pdf,"Overview of structural shell elements in ANSYS, including differences between thin and thick shells, drilling DOF, etc.",17,9.25,20
Tips,StructuralGeneral StructuralDynamics CSITOTW,Converting pressures to nodal forces [PDF],Sheldon Imaoka (CSI),http://ansys.net/tips/Week_17_STI52_TNT_converting_pressures_to_nodal_forces.pdf,"Tip on converting element pressures to nodal forces.  This can be useful for mode superposition methods where LVSCALE may not be suitable.<br><a href=""tips/si_p2f.mac"">SI_P2F Macro</a> and <a href=""tips/cube.inp"">test input file</a>.",18,8.125,32
Tips,StructuralGeneral CSITOTW,Different Methods of Connecting Parts Together [PDF],Sean Harvey (CSI),http://ansys.net/tips/week24-connecting_models_tow.pdf,Connecting Parts - A study of Continuous Mesh versus Bonded Contact versus Constraint Equations.,19,9.435483871,62
Tips,StructuralGeneral CSITOTW,Structural Beam Elements Overview [PDF],Sheldon Imaoka (CSI),http://ansys.net/tips/STI69_TNT_Beam_Elements.zip,"An overview of beam elements available in ANSYS, including the new BEAM188/189 elements and differences between thin and thick beams.",20,8.823529412,17
Tips,StructuralGeneral HeatXfer,Thermal-stress analyses using SHELL57 and SHELL93,Sheldon Imaoka (CSI),http://ansys.net/?mycat=tnt_sheldon7,"Tips on performing thermal-stress analyses of shells, including temperature effects of SHELL93 and compatibility with SHELL57.  (From XANSYS posting)",21,8.75,20
Tips,StructuralGeneral,SOLID92 and EMAT Files,Sheldon Imaoka (CSI),http://ansys.net/?mycat=tnt_sheldon11,Discussion on when EMAT files are written when using SOLID92.  Preventing writing of EMAT files to disk may decrease overall solution times on some hardware.  (From XANSYS posting),22,10,3
Tips,StructuralGeneral,Performance of SOLID92 vs. Degenerate SOLID95,Sheldon Imaoka (CSI),http://ansys.net/?mycat=tnt_sheldon12,Discussion on why there are differences in run times of SOLID92 and the degenerate tetrahedra form of SOLID95.  (From XANSYS posting),23,7.307692308,13
Tips,StructuralGeneral GeneralTip,Sparse Solver (Memory and Performance Information),"Gene Poole (ANSYS, Inc.)",http://ansys.net/?mycat=tnt_poole1,Discussion on memory requirements and performance of the sparse solver in ANSYS.  (From XANSYS posting),24,8.75,4
Tips,StructuralNonlin CSITOTW,Load vs. displacement control in contact problems [PDF],Karen Dhuyvetter (CSI),http://ansys.net/tips/week2-contact1.pdf,Discussion on load vs. displacement control for contact problems.,25,10,18
Tips,StructuralNonlin CSITOTW,Modeling preloaded bolts [PDF],Sheldon Imaoka (CSI),http://ansys.net/tips/week12-STI43_TNT_Bolt_preload.pdf,"Modeling preload in bolts via contact offset, thermal contraction, or the new pretension elements PRETS179.<br><a href=""tips/preload1.inp"">PRELOAD1</a>,  <a href=""tips/preload2.inp"">PRELOAD2</a>, and <a href=""tips/preload3.inp"">PRELOAD3</a> input files",26,10,12
Tips,StructuralNonlin CSITOTW,Nonlinear monitoring [PDF],Sheldon Imaoka (CSI),http://ansys.net/tips/Week_16_Nonlinear_Monitor.pdf,Memo covering the benefits of the jobname.mntr file and the MONITOR command in nonlinear analyses.,27,10,9
Tips,StructuralGeneral StructuralDynamics StructuralNonlin CSITOTW,Multiframe Restarts [PDF],Sean Harvey (CSI),http://ansys.net/tips/Week_19_tip_of_week_restart.pdf,"Memo covering the multiframe restart capability (RESCON) in ANSYS.<br><a href=""tips/Week_19_restart_input.inp"">Accompanying input file</a>",28,4.5,10
Tips,StructuralNonlin,"Difference between Large rotation, Finite Strain, Stress-Stiffening",Sheldon Imaoka (CSI),http://ansys.net/?mycat=tnt_sheldon6,"Discussion on the differences between large rotation (large deflection), finite strain (large strain), and stress-stiffening effects in nonlinear analyses.  (From XANSYS posting)",29,9.615384615,13
Tips,StructuralNonlin,Difference between PSTRES and SSTIF,Sheldon Imaoka (CSI),http://ansys.net/?mycat=tnt_sheldon9,Discussion on the differences between PSTRES and SSTIF commands.  (From XANSYS posting),30,10,10
Tips Undocu,StructuralNonlin HeatXfer,PDF file summarizing beta contact features at 5.6.1 [PDF],Sheldon Imaoka (CSI),http://ansys.net/tips/contact_beta_56.pdf,"Presentation on the thermal contact and fluid pressure capabilities of the surface-to-surface contact elements.  This was written when these capabilities were beta at 5.6.  Thermal capabilites are documented at 5.7.<br>Accompanying <a href=""input/therm_cont.inp"">thermal contact example</a> and <a href=""input/fluid_pres.inp"">fluid pressure example</a>",31,10,5
Tips Undocu,StructuralNonlin HeatXfer,Thermal contact overview [PDF],"Yongyi Zhu (ANSYS, Inc.)",http://ansys.net/tips/tcontact.pdf,"Presentation on the thermal contact capabilities of the surface-to-surface contact elements, beta at 5.6.<br><a href=""input/yongyi.inp"">Input file for pressure-dependent thermal conductance</a><br>",32,9.705882353,17
Tips,StructuralNonlin,Creep and Plasticity,"Guoyu Lin (ANSYS, Inc.)",http://ansys.net/?mycat=tnt_guoyu1,"Discussion on creep (implicit and explicit time integration), along with using it with plasticity models.  (From XANSYS posting)",33,9.864864865,37
Tips,StructuralDynamics CSITOTW,Sine sweep simulation [PDF],David Haberman (CSI),http://ansys.net/tips/week6-compar-lm-dd3.pdf,"Discussion on harmonic sweeps, either via the direct displacement method or the large mass method.<br><a href=""tips/week6-direct-disp-example.inp"">Direct displacement method example input file</a> and <a href=""tips/week6-large-mass-example.inp"">Large mass method example input file</a>",34,8.461538462,26
Tips,StructuralDynamics CSITOTW,Random Vibration Analysis of a Circuit Board [PDF],Sean Harvey (CSI),http://ansys.net/tips/week23-random_vibrations_tow.pdf,"Example of random vibration analysis of a circuit board in ANSYS.<br><a href=""tips/week23-boardpsd.zip"">Input files in zip format</a>",35,9.791666667,48
Tips,StructuralDynamics CSITOTW,QR Damped Modal Analysis [PDF],Sheldon Imaoka (CSI),http://ansys.net/tips/week_29_STI68_TNT_Damped_Modal.pdf,"Presentation on different damped eigenvalue extraction methods in ANSYS, focusing on the newer QR Damped method.<br><a href=""tips/week_29_STI68_TNT_Damped_Modal.zip"">Input files in zip format</a>",36,10,10
Tips,StructuralDynamics,Example harmonic analysis using the large mass method [PDF],David Haberman (CSI),http://ansys.net/tips/harmonic-large-mass-method.pdf,Step-by-step instructions on performing an example harmonic analysis using the large mass method.,37,8.409090909,22
Tips,HeatXfer CSITOTW,Thermal Surface Effect Elements Intro [PDF],Sheldon Imaoka (CSI),http://ansys.net/tips/Week_11_Surface_Effect_Elements_Thermal.pdf,Introduction to thermal surface effect elements (SURF151/152).,38,10,9
Tips,HeatXfer CSITOTW,Radiosity Solver [PDF],Sheldon Imaoka (CSI),http://ansys.net/tips/STI65_TNT_Radiosity_Solver.pdf,"Information on radiation capabilities of ANSYS, focusing on the radiosity solution method.<br>Accompanying input files <a href=""tips/rad_ex86.inp"">1</a>, <a href=""tips/rad_ex87.inp"">2</a>, <a href=""tips/rad_ex88.inp"">3</a> and <a href=""tips/rad_ex810.inp"">4</a>",39,9.615384615,13
Tips,HeatXfer,Fast Nonlinear Transient Thermal Solver [PDF],"(ANSYS, Inc.)",http://ansys.net/tips/THOPT.pdf,"Information on the fast nonlinear thermal solution method (THOPT), beta in 5.6 and documented in 5.7",40,10,6
Tips,Flotran,Flotran conjugate heat transfer tips,Sheldon Imaoka (CSI),http://ansys.net/?mycat=tnt_sheldon02,Tips on settings to use in Flotran for conjugate heat transfer problems.  (From XANSYS posting),41,9.347826087,23
Tips,Flotran,Flotran natural convection tips,"Mark Troscinski (ANSYS, Inc.)",http://ansys.net/?mycat=tnt_troscinski1,Tips on settings to use in Flotran for natural convection problems.  (From XANSYS posting),42,10,12
Tips,Flotran,Timestep for VOF analyses,Sheldon Imaoka (CSI),http://ansys.net/?mycat=tnt_sheldon8,Information on the volume-of-fluid (VOF) time steps in Flotran.,43,9.666666667,15
Tips,Licensing CSITOTW,License monitoring and reporting [PDF],Sheldon Imaoka (CSI),http://ansys.net/tips/week7-TNT_License_Reporting.pdf,"Information on license monitoring and reporting for Elan (ANSYS 5.4-5.6).  At 5.7, licensing has reverted back to FlexLM, and this document is not applicable.",44,10,4
Tips,Licensing GeneralOS,"How to automatically release a license on Windows NT, usually due to an aborted job","Bram Weisman (Alan C. McClure Associates, Inc.)",http://ansys.net/?mycat=tnt_bram1,Information on how to release a license on Windows NT if an ANSYS job has aborted.  This is based on Elan licensing (ANSYS 5.4-5.6).  (From XANSYS posting),45,10,4
Tips,GeneralOS CSITOTW,Memory management and configuration [PDF],Sheldon Imaoka (CSI),http://ansys.net/tips/Week_14_Memory_Configuration.pdf,"Memo on memory management and configuration, especially in conjunction with the PCG solver and options in linear static analyses.",46,9,10
Tips,GeneralOS CSITOTW,Text and compression utilities [PDF],Sheldon Imaoka (CSI),http://ansys.net/tips/week10-Text_Compression_Utilities.pdf,"Memo on text editors which support syntax highlighting, useful in editing input files and/or macros.  Also discusses compression utilities to reduce filesize of database and results files.  (Also see ""bzip2"" compression utility, not discussed in memo)",47,10,3
Tips,GeneralOS,Running batch jobs on UNIX and on Windows,Sheldon Imaoka (CSI),http://ansys.net/?mycat=tnt_sheldon4,Discussion on creating C-shell scripts to run batch jobs on UNIX.  Also discussion on writing DOS scripts to run batch jobs on Windows.  (From XANSYS posting),48,8.75,4
Tips,GeneralOS,How to miminize the Progress bar/window on Windows NT,(various),http://ansys.net/?mycat=tnt_saad1,Tip on how to minimize the progress bar during solution on Windows NT.,49,10,3
Tips,GeneralOS,How to suspend ANSYS on Windows NT if it is writing too many warnings,"Bram Weisman (Alan C. McClure Associates, Inc.)",http://ansys.net/?mycat=tnt_bram2,Discussion on suspending the ANSYS process on Windows if the output window is getting written to too much (warning messages).  (From XANSYS posting),50,10,2
Tips,GeneralOS,"How to rename multiple image files (jobname000.tif, jobname001.tif, etc.) on Windows NT",Sheldon Imaoka (CSI),http://ansys.net/?mycat=tnt_sheldon01,"How to rename the ANSYS-generated TIF (or JPEG, etc.) files under Windows NT via a DOS batch script.  (From XANSYS posting)",51,0,0
Tips,GeneralOS,"How to run an ANSYS job in batch at a scheduled time, with or without low priority on Windows NT",Sheldon Imaoka (CSI),http://ansys.net/?mycat=tnt_sheldon3,"How to run batch jobs under Windows NT using the 'at' (a.k.a. scheduling) utility, with or without low priority to allow single-processor machines to be used for other purposes during solution.  (From XANSYS posting)",52,8,5
Tips,GeneralOS,Using Windows file extension association for ANSYS files,Sheldon Imaoka (CSI),http://ansys.net/?mycat=tnt_sheldon5,"How to associate jobname.db files with ANSYS under Windows, so one can double-click on them to launch ANSYS.  (From XANSYS posting)",53,10,2
Tips,GeneralOS CSITOTW,Windows file association for ANSYS files [PDF],Sheldon Imaoka (CSI),http://ansys.net/tips/Week_20_Windows_File_Association.pdf,"How to associate database, graphics, and input files with ANSYS under Windows, so one can launch ANSYS more easily without the ANSYS launcher.",54,9.705882353,17
Tips,GeneralOS,Windows NT and Max Addressable Memory (-m),"Chris Hawkins (ANSYS, Inc.)",http://ansys.net/?mycat=tnt_hawkins1,Discussion of memory management and max addressable memory in Windows and why only about 1.4 GB of RAM can be accessed (5.6).,55,8.333333333,6
Tips,HeatXfer,Radiation article in ANSYS Solutions Magazine [PDF],"Dave Looman (ANSYS, Inc.)",http://ansys.net/tips/radiation.pdf,"Overview of ANSYS's radiation capabilities, including a discussion on the radiosity solution method.",56,8,10
InputFile,StructuralBuckling,IBEAM_188,Sheldon Imaoka (CSI),http://ansys.net/input/ibeam_188.inp,"Lateral torsional buckling (example of use of WARP DOF for BEAM188/189)<br>For an I-beam, considering WARP DOF (in 5.6) is important (i.e., unrestrained or restrained warping).  Consider the I-beam modeled with BEAM188 elements or with SHELL181:<br>* BEAM188 (Unrestrained warping) -- 387.3<br>* BEAM188 (Restrained warping)   -- 569.6<br>* SHELL181 (concentrated load)   -- 560.8<br>* SHELL181 (distributed load)    -- 564.1 (similar to beam case)<br>This input file uses BEAM188.",57,9,125
InputFile,StructuralBuckling,IBEAM_181,Sheldon Imaoka (CSI),http://ansys.net/input/ibeam_181.inp,"Lateral torsional buckling (example of use of WARP DOF for BEAM188/189)<br>For an I-beam, considering WARP DOF (in 5.6) is important (i.e., unrestrained or restrained warping).  Consider the I-beam modeled with BEAM188 elements or with SHELL181:<br>* BEAM188 (Unrestrained warping) -- 387.3<br>* BEAM188 (Restrained warping)   -- 569.6<br>* SHELL181 (concentrated load)   -- 560.8<br>* SHELL181 (distributed load)    -- 564.1 (similar to beam case)<br>This input file uses SHELL181.",58,9.336734694,98
InputFile,StructuralBuckling,ARCH_BUCK,Sheldon Imaoka (CSI),http://ansys.net/input/arch_buck.inp,"Buckling of arch (example of use of pressure load stiffness matrix)<br>For many eigenvalue (and nonlinear) buckling problems, inclusion of the pressure load stiffness matrix (BEAM188/189, SHELL181, SURF154) significantly affects results.  For nonlinear buckling problems, this may also affect convergence rate.<br>* Theoretical: 771.12<br>* SHELL93 only (1st eig 840.73)<br>* SHELL181 only (1st eig 771.72)<br>* SHELL93 & SURF154 (1st eig 771.07)<br>* SHELL93 & SURF154, face 4 (1st eig 840.78)<br>Change ""COMPTYPE"" parameter to run above 4 cases.",59,9.077448747,439
InputFile,StructuralNonlin,SHELL_CONT,Sheldon Imaoka (CSI),http://ansys.net/input/shell_cont.inp,"Input file demonstrating plasticity, contact, finite strain.  Also shows benefit of line search activated.",60,9.111111111,45
InputFile,StructuralNonlin,LARGE_ROTAT,Sheldon Imaoka (CSI),http://ansys.net/input/large_rotat.inp,Input file demonstrating large rotation (beam).  Also shows that line search takes longer CPU time.,61,10,25
InputFile,StructuralNonlin,CONTACT_SHELL,Sheldon Imaoka (CSI),http://ansys.net/input/contact_shell.inp,Shows rigid-flexible contact w/ shell offset.,62,9.192307692,130
InputFile,StructuralNonlin,PRETEN_BOLT,Sheldon Imaoka (CSI),http://ansys.net/input/preten_bolt.inp,Example demonstrating pretension (bolt) element PRETS179.,63,9.868421053,38
InputFile,StructuralNonlin,FLUID_PRES,Sheldon Imaoka (CSI),http://ansys.net/input/fluid_pres.inp,"Example showing 'fluid pressure' contact, beta at 5.6.",64,9.264705882,34
InputFile,StructuralNonlin,FRICTION_TEST2,Brent Bristol (SpeedFam-IPEC),http://ansys.net/input/friction_test2.inp,"From the author: ""The following macro demonstrates a method for obtaining friction forces directly from a contact interface [and restart capability].""",65,9.210526316,38
InputFile,StructuralDynamics,RV_BA,David Haberman (CSI),http://ansys.net/input/rv-ba.inp,"Example of random vibration, base acceleration.",66,8.793103448,29
InputFile,StructuralDynamics,RV_BA_MP,David Haberman (CSI),http://ansys.net/input/rv-ba-mp.inp,"Example of random vibration, base acceleration in two directions.",67,6.842105263,19
InputFile,StructuralDynamics,RV_LMM,David Haberman (CSI),http://ansys.net/input/rv-lmm.inp,"Example of random vibration, large mass method.",68,10,8
InputFile,StructuralDynamics,RV_NF,David Haberman (CSI),http://ansys.net/input/rv-nf.inp,"Example of random vibration, nodal forces.",69,8.181818182,11
InputFile,StructuralDynamics,RV_PRESS_FM,David Haberman (CSI),http://ansys.net/input/rv-press-fm.inp,"Example of random vibration, pressure loading.",70,7.777777778,9
InputFile,StructuralDynamics,RV_PRESS_RM,David Haberman (CSI),http://ansys.net/input/rv-press-rm.inp,"Example of random vibration, pressure loading (reduced modal).",71,10,8
InputFile,StructuralDynamics,HARM_FULL_EX,David Haberman (CSI),http://ansys.net/input/harm-full-ex.inp,"Direct displacement method (full harmonic with applied displacment).<br>Modal analysis then frequency sweep.<br>Results are scaled to get acceleration, displacement, and g's vs frequency.",72,9.777777778,45
InputFile,StructuralDynamics,HARM_LMM,David Haberman (CSI),http://ansys.net/input/harm-lmm.inp,Harmonic linear Sweep Example. Modal super position with the large mass method was the solution technique.,73,10,15
InputFile,StructuralDynamics,HARM_LMM_CLUST,David Haberman (CSI),http://ansys.net/input/harm-lmm-clust.inp,Harmonic linear Sweep Example. Modal super position with the large mass method was the solution technique. The cluster option was used to allow for enough resolution around the natural freq.,74,10,11
InputFile,StructuralDynamics,HARM_LMM_SPEC,David Haberman (CSI),http://ansys.net/input/harm-lmm-spec.inp,Harmonic Log Sweep Example.  Allows a user to input varibles that are consistent with design spec.  Modal super position with the large mass method was the solution technique.,75,10,15
InputFile,StructuralDynamics,SPEC_ACC,David Haberman (CSI),http://ansys.net/input/spec-acc.inp,Example of running a sprectrum analysis in ANSYS.<br>Acceleration Sprectrum.,76,8.75,16
InputFile,StructuralDynamics,SPEC_ACC_VEL_MPT,David Haberman (CSI),http://ansys.net/input/spec-acc-vel-mpt.inp,Example of running a sprectrum analysis in ANSYS.<br>Multipoint input sprectrum (acceleration and velocities).,77,7.727272727,11
InputFile,StructuralDynamics,SPEC_PULSE2,David Haberman (CSI),http://ansys.net/input/spec-pulse2.inp,User can modify the 1/2 sine input amplitude and duration.<br>ANSYS will calculate the fft and give you an input spectrum for later use in a spectrum analysis.,78,8.666666667,15
InputFile,StructuralDynamics,TR_LMM_ACC_MSPT,David Haberman (CSI),http://ansys.net/input/tr-lmm-acc-mspt.inp,Structural Transient<br>Modal Superposition<br>Large Mass Method<br>Acceleration vs. Time  Acceleration:f=ma<br>,79,8.157894737,19
InputFile,StructuralDynamics,TR_LMM_ACC_MSPT_2,David Haberman (CSI),http://ansys.net/input/tr-lmm-acc-mspt-2.inp,Structural Transient<br>Pre-Stressed Modal Superposition<br>Large Mass Method<br>Acceleration vs. Time  Acceleration:f=ma<br>,80,10,9
InputFile,StructuralDynamics,TR_LMM_ACC_MSPT_SIN,David Haberman (CSI),http://ansys.net/input/tr-lmm-acc-mspt-sin.inp,Example of a transient modal supperposition<br>Large mass method applying acceleration vs. time<br>1/2 sine wave with 75 g peak over .006 sec<br>,81,9.375,16
InputFile,StructuralDynamics,TR_LSM_EL_MSPT,David Haberman (CSI),http://ansys.net/input/tr-lsm-el-mspt.inp,"Structural Transient, mode superposition method<br>Element pressure vs. Time<br>",82,9.285714286,7
InputFile,StructuralDynamics,TR_LSM_F_MSPT,David Haberman (CSI),http://ansys.net/input/tr-lsm-f-mspt.inp,"Structural Transient, mode superposition method<br>Nodal forces vs. Time<br>",83,10,8
InputFile,StructuralDynamics,TR_LSM_PRESS_FT,David Haberman (CSI),http://ansys.net/input/tr-lsm-press-ft.inp,"Structural Transient, full method<br>Element pressure vs. Time applied as load steps<br>",84,10,11
InputFile,StructuralDynamics,TR_TB_PRESS_FT,David Haberman (CSI),http://ansys.net/input/tr-tb-press-ft.inp,"Structural Transient, full method<br>Element pressure vs. Time applied as tabular load<br>",85,9.285714286,35
InputFile,Flotran,IMPULSE,"Brad Lamirand (Cooper Turbocompressor, Inc.)",http://ansys.net/input/impulse.inp,Example of Flotran model which solves a sinusoidally varying flow from pi/4 to 7*pi/4.,86,10,14
InputFile,Flotran,COUETTE,Sheldon Imaoka (CSI),http://ansys.net/input/couette.inp,"Example of couette flow, viscous heating option for incompressible flow at Flotran 5.6.",87,9.821428571,28
InputFile,Flotran,FANBOX2,"(ANSYS, Inc.)",http://ansys.net/input/fanbox2.inp,Example of use of fan model and forced convection.,88,8.80952381,21
InputFile,Flotran,NAT_CONV3D,Sheldon Imaoka (CSI),http://ansys.net/input/nat_conv3d.inp,"Simple natural convection problem of chip on board, 3D hex.",89,10,11
InputFile,Flotran,CONV_FINS,Sheldon Imaoka (CSI),http://ansys.net/input/conv_fins.inp,"Simple natural convection problem of heated fins, 2D tri.",90,9.4,25
InputFile,Flotran,FORCED_CONV,Sheldon Imaoka (CSI),http://ansys.net/input/forced_conv.inp,"Simple forced convection problem of heated fins, 2D tri.  Just modified <a href=""input/conv_fins.inp"">CONV_FINS</a> example.",91,6.25,4
InputFile,Flotran,CNHTXFR2,"Brad Lamirand (Cooper Turbocompressor, Inc.)",http://ansys.net/input/cnhtxfr2.inp,Steady state conjugate heat transfer in a pipe.,92,9.038461538,26
InputFile,Flotran,BOW,"Mark Troscinski (ANSYS, Inc.)",http://ansys.net/input/bow.inp,Example of bowshock on cylinder.,93,9.479166667,96
InputFile,Flotran,TORSION3,"Deepak Ganjoo (ANSYS, Inc.)",http://ansys.net/input/torsion3.inp,"Example of ALE, squeeze-film damping calculations.  Requires associated macros <a href=""input/mvconn.mac"">MVCONN</a> and <a href=""input/boxmove.mac"">BOXMOVE</a>.",94,8.529411765,17
InputFile,Flotran,VORTEX,"Mark Troscinski (ANSYS, Inc.)",http://ansys.net/input/vortex.inp,"Example of setting up vortex shedding.  This is not a complete input file but shows options necessary to set up the problem.  Also, a <a href=""input/vortex.zip"">Zipped AVI animation</a> is available.",95,8.333333333,30
InputFile,Flotran,CYLINFLO,Sheldon Imaoka (CSI),http://ansys.net/input/cylinflo.inp,Simple example of natural convection of horizontal cylinder.,96,8.571428571,14
InputFile,Acoustics,SPHERE,Sheldon Imaoka (CSI),http://ansys.net/input/sphere.inp,Example of acoustic radiating sphere.  Comparison w/ hand calculations.,97,8.766233766,154
InputFile,HeatXfer,THERM_CONT,Sheldon Imaoka (CSI),http://ansys.net/input/therm_cont.inp,Simple input file demonstrating thermal contact conductance with surf-to-surf contact elements (not all thermal features of contact elements shown).  Note: Thermal contact for 169-174 elements are BETA at 5.6.,98,10,31
InputFile,HeatXfer,ST_EX3,Sheldon Imaoka (CSI),http://ansys.net/input/st_ex3.inp,"Simple example illustrating use of generating, using, and post-processing thermal surface effect elements.",99,10,16
InputFile,HeatXfer,WELD,Karen Dhuyvetter (CSI),http://ansys.net/input/weld.inp,Transient analysis of a weld (phase change analysis),100,9.466019417,103
InputFile,HeatXfer,CONVECT,"Steve Groothuis (Micron Technology, Inc.)",http://ansys.net/input/convect.inp,Example of using MP data to apply temp-dependent film coefficient.  Please note that this macro does not have geometry and will not run by itself.  It is meant to serve as an example in applying film coefficients.<br>,101,9.083333333,60
InputFile,HeatXfer,YONGYI,"Yongyi Zhu (ANSYS, Inc.)",http://ansys.net/input/yongyi.inp,Example of pressure-dependent thermal contact (beta at 5.6).,102,8.684210526,38
InputFile,CMAP,Purple colormap,"Bryan Baskin (Bell Helicopter Textron, Inc.)",http://ansys.net/input/plot7.cmap,"Color map (contours) which ranges from purple to red.  Use /cmap,plot7.cmap to read in file.",103,7.777777778,9
